rozmiar,gestosc,sredni_czas_us,srednia_gestosc
10,0.25,0.05,0.00244444
10,0.5,0.05,0.00511111
10,0.75,0.13,0.007
10,1,0.06,0.01
50,0.25,0.82,0.00243673
50,0.5,1.02,0.00505306
50,0.75,0.89,0.00747347
50,1,1.13,0.01
100,0.25,2.79,0.00249192
100,0.5,3.84,0.00500707
100,0.75,3.04,0.00745657
100,1,3.72,0.01
200,0.25,10.7,0.00250276
200,0.5,12.73,0.0050108
200,0.75,14.4,0.00747538
200,1,13.92,0.01
500,0.25,65.7,0.00250806
500,0.5,81.8,0.00499828
500,0.75,86.58,0.00750248
500,1,84.63,0.01
