rozmiar,gestosc,sredni_czas_us,srednia_gestosc
10,0.25,0.02,0.00244444
10,0.5,0.03,0.00511111
10,0.75,0.03,0.007
10,1,0.03,0.01
50,0.25,0.28,0.00243673
50,0.5,0.38,0.00505306
50,0.75,0.47,0.00747347
50,1,0.53,0.01
100,0.25,0.89,0.00249192
100,0.5,1.61,0.00500707
100,0.75,1.78,0.00745657
100,1,1.76,0.01
200,0.25,4.23,0.00250276
200,0.5,6.5,0.0050108
200,0.75,6.58,0.00747538
200,1,6.09,0.01
500,0.25,22.86,0.00250806
500,0.5,37.13,0.00499828
500,0.75,38.83,0.00750248
500,1,37.83,0.01
