gestosc/rozmiar,10,50,100,200,500
0.25,4206.78,74294.6,268629,1.03104e+06,6.63898e+06
0.5,5779.01,97599.3,364908,1.40489e+06,8.69484e+06
0.75,6513.9,118116,438508,1.67859e+06,1.05336e+07
1,7123.01,134508,502877,1.91999e+06,1.25195e+07
