gestosc/rozmiar,10,50,100,200,500
0.25,3471.25,356096,2.59302e+06,2.11853e+07,3.38832e+08
0.5,6637.03,718777,5.5548e+06,4.54655e+07,6.95745e+08
0.75,9062.17,1.04665e+06,8.26126e+06,6.54345e+07,1.04044e+09
1,11636.6,1.3744e+06,1.11441e+07,8.8425e+07,1.38733e+09
