gestosc/rozmiary,10,50,100,200,500
0.25,1819.92,27119.7,113374,401852,2.36178e+06
0.5,2611.16,44792.4,192651,669269,4.44566e+06
0.75,2986.9,48206.4,210495,726873,4.30459e+06
1,2658.91,46781.9,201397,747068,4.58758e+06
